year	month	day	hour	minute	second	U(m/s)	V(m/s)
2023	6	2	10	50	0	NaN	NaN
2023	6	2	11	0	0	-1.725066961	0.191654952
2023	6	2	11	10	0	NaN	NaN
2023	6	2	11	20	0	NaN	NaN
2023	6	2	11	30	0	NaN	NaN
2023	6	2	11	40	0	NaN	NaN
2023	6	2	11	50	0	NaN	NaN
2023	6	2	12	0	0	-1.384874545	1.257795403
2023	6	2	12	10	0	NaN	NaN
2023	6	2	12	20	0	NaN	NaN
2023	6	2	12	30	0	NaN	NaN
2023	6	2	12	40	0	NaN	NaN
2023	6	2	12	50	0	NaN	NaN
2023	6	2	13	0	0	-1.153868553	1.872719457
2023	6	2	13	10	0	NaN	NaN
2023	6	2	13	20	0	NaN	NaN
2023	6	2	13	30	0	NaN	NaN
2023	6	2	13	40	0	NaN	NaN
2023	6	2	13	50	0	NaN	NaN
2023	6	2	14	0	0	-1.535870648	1.957520931
2023	6	2	14	10	0	NaN	NaN
2023	6	2	14	20	0	NaN	NaN
2023	6	2	14	30	0	NaN	NaN
2023	6	2	14	40	0	NaN	NaN
2023	6	2	14	50	0	NaN	NaN
2023	6	2	15	0	0	-2.220466529	1.539408853
2023	6	2	15	10	0	NaN	NaN
2023	6	2	15	20	0	NaN	NaN
2023	6	2	15	30	0	NaN	NaN
2023	6	2	15	40	0	NaN	NaN
2023	6	2	15	50	0	NaN	NaN
2023	6	2	16	0	0	-3.100575292	1.187051928
2023	6	2	16	10	0	NaN	NaN
2023	6	2	16	20	0	NaN	NaN
2023	6	2	16	30	0	NaN	NaN
2023	6	2	16	40	0	NaN	NaN
2023	6	2	16	50	0	NaN	NaN
2023	6	2	17	0	0	-3.57371647	1.008832788
2023	6	2	17	10	0	NaN	NaN
2023	6	2	17	20	0	NaN	NaN
2023	6	2	17	30	0	NaN	NaN
2023	6	2	17	40	0	NaN	NaN
2023	6	2	17	50	0	NaN	NaN
2023	6	2	18	0	0	-3.817957179	-0.385176462
2023	6	2	18	10	0	NaN	NaN
2023	6	2	18	20	0	NaN	NaN
2023	6	2	18	30	0	NaN	NaN
2023	6	2	18	40	0	NaN	NaN
2023	6	2	18	50	0	NaN	NaN
2023	6	2	19	0	0	-4.231241335	-2.293889843
2023	6	2	19	10	0	NaN	NaN
2023	6	2	19	20	0	NaN	NaN
2023	6	2	19	30	0	NaN	NaN
2023	6	2	19	40	0	NaN	NaN
2023	6	2	19	50	0	NaN	NaN
2023	6	2	20	0	0	-4.053475006	-2.11521722
2023	6	2	20	10	0	NaN	NaN
2023	6	2	20	20	0	NaN	NaN
2023	6	2	20	30	0	NaN	NaN
2023	6	2	20	40	0	NaN	NaN
2023	6	2	20	50	0	NaN	NaN
2023	6	2	21	0	0	-3.38662568	-1.355631828
2023	6	2	21	10	0	NaN	NaN
2023	6	2	21	20	0	NaN	NaN
2023	6	2	21	30	0	NaN	NaN
2023	6	2	21	40	0	NaN	NaN
2023	6	2	21	50	0	NaN	NaN
2023	6	2	22	0	0	-2.797981507	-1.582373736
2023	6	2	22	10	0	NaN	NaN
2023	6	2	22	20	0	NaN	NaN
2023	6	2	22	30	0	NaN	NaN
2023	6	2	22	40	0	NaN	NaN
2023	6	2	22	50	0	NaN	NaN
2023	6	2	23	0	0	-2.412971521	-1.903440278
2023	6	2	23	10	0	NaN	NaN
2023	6	2	23	20	0	NaN	NaN
2023	6	2	23	30	0	NaN	NaN
2023	6	2	23	40	0	NaN	NaN
2023	6	2	23	50	0	NaN	NaN
2023	6	3	0	0	0	-2.146472422	-2.629014383
2023	6	3	0	10	0	NaN	NaN
2023	6	3	0	20	0	NaN	NaN
2023	6	3	0	30	0	NaN	NaN
2023	6	3	0	40	0	NaN	NaN
2023	6	3	0	50	0	NaN	NaN
2023	6	3	1	0	0	-2.385599718	-3.004952467
2023	6	3	1	10	0	NaN	NaN
2023	6	3	1	20	0	NaN	NaN
2023	6	3	1	30	0	NaN	NaN
2023	6	3	1	40	0	NaN	NaN
2023	6	3	1	50	0	NaN	NaN
2023	6	3	2	0	0	-2.672853262	-3.335088684
2023	6	3	2	10	0	NaN	NaN
2023	6	3	2	20	0	NaN	NaN
2023	6	3	2	30	0	NaN	NaN
2023	6	3	2	40	0	NaN	NaN
2023	6	3	2	50	0	NaN	NaN
2023	6	3	3	0	0	-2.885511121	-3.360483778
2023	6	3	3	10	0	NaN	NaN
2023	6	3	3	20	0	NaN	NaN
2023	6	3	3	30	0	NaN	NaN
2023	6	3	3	40	0	NaN	NaN
2023	6	3	3	50	0	NaN	NaN
2023	6	3	4	0	0	-3.306615792	-2.987266598
2023	6	3	4	10	0	NaN	NaN
2023	6	3	4	20	0	NaN	NaN
2023	6	3	4	30	0	NaN	NaN
2023	6	3	4	40	0	NaN	NaN
2023	6	3	4	50	0	NaN	NaN
2023	6	3	5	0	0	-3.391137516	-2.998150209
2023	6	3	5	10	0	NaN	NaN
2023	6	3	5	20	0	NaN	NaN
2023	6	3	5	30	0	NaN	NaN
2023	6	3	5	40	0	NaN	NaN
2023	6	3	5	50	0	NaN	NaN
2023	6	3	6	0	0	-3.727720464	-3.128753548
2023	6	3	6	10	0	NaN	NaN
2023	6	3	6	20	0	NaN	NaN
2023	6	3	6	30	0	NaN	NaN
2023	6	3	6	40	0	NaN	NaN
2023	6	3	6	50	0	NaN	NaN
2023	6	3	7	0	0	-4.114835973	-3.146892901
2023	6	3	7	10	0	NaN	NaN
2023	6	3	7	20	0	NaN	NaN
2023	6	3	7	30	0	NaN	NaN
2023	6	3	7	40	0	NaN	NaN
2023	6	3	7	50	0	NaN	NaN
2023	6	3	8	0	0	-3.932557808	-2.663025669
2023	6	3	8	10	0	NaN	NaN
2023	6	3	8	20	0	NaN	NaN
2023	6	3	8	30	0	NaN	NaN
2023	6	3	8	40	0	NaN	NaN
2023	6	3	8	50	0	NaN	NaN
2023	6	3	9	0	0	-3.920827035	-1.876231249
2023	6	3	9	10	0	NaN	NaN
2023	6	3	9	20	0	NaN	NaN
2023	6	3	9	30	0	NaN	NaN
2023	6	3	9	40	0	NaN	NaN
2023	6	3	9	50	0	NaN	NaN
2023	6	3	10	0	0	-3.726818097	-1.2191332
2023	6	3	10	10	0	NaN	NaN
2023	6	3	10	20	0	NaN	NaN
2023	6	3	10	30	0	NaN	NaN
2023	6	3	10	40	0	NaN	NaN
2023	6	3	10	50	0	NaN	NaN
2023	6	3	11	0	0	-4.322079629	-1.252691002
2023	6	3	11	10	0	NaN	NaN
2023	6	3	11	20	0	NaN	NaN
2023	6	3	11	30	0	NaN	NaN
2023	6	3	11	40	0	NaN	NaN
2023	6	3	11	50	0	NaN	NaN
2023	6	3	12	0	0	-4.351256167	-0.873125048
2023	6	3	12	10	0	NaN	NaN
2023	6	3	12	20	0	NaN	NaN
2023	6	3	12	30	0	NaN	NaN
2023	6	3	12	40	0	NaN	NaN
2023	6	3	12	50	0	NaN	NaN
2023	6	3	13	0	0	-4.370807455	-0.598767339
2023	6	3	13	10	0	NaN	NaN
2023	6	3	13	20	0	NaN	NaN
2023	6	3	13	30	0	NaN	NaN
2023	6	3	13	40	0	NaN	NaN
2023	6	3	13	50	0	NaN	NaN
2023	6	3	14	0	0	-4.468563897	-0.182469196
2023	6	3	14	10	0	NaN	NaN
2023	6	3	14	20	0	NaN	NaN
2023	6	3	14	30	0	NaN	NaN
2023	6	3	14	40	0	NaN	NaN
2023	6	3	14	50	0	NaN	NaN
2023	6	3	15	0	0	-3.907592316	0.536302652
2023	6	3	15	10	0	NaN	NaN
2023	6	3	15	20	0	NaN	NaN
2023	6	3	15	30	0	NaN	NaN
2023	6	3	15	40	0	NaN	NaN
2023	6	3	15	50	0	NaN	NaN
2023	6	3	16	0	0	-3.42151721	1.769778631
2023	6	3	16	10	0	NaN	NaN
2023	6	3	16	20	0	NaN	NaN
2023	6	3	16	30	0	NaN	NaN
2023	6	3	16	40	0	NaN	NaN
2023	6	3	16	50	0	NaN	NaN
2023	6	3	17	0	0	-3.266610848	2.691711229
2023	6	3	17	10	0	NaN	NaN
2023	6	3	17	20	0	NaN	NaN
